 1998/06/23,1397.95,1313.01
 1998/06/24,1401.74,1299.14
 1998/06/25,1382.03,1316.27
 1998/06/26,1385.61,1326.82
 1998/06/29,1361.43,1321.89
 1998/06/30,1339.2,1317.94
 1998/07/01,1316.44,1311.94
 1998/07/02,1331.65,1315.3
 1998/07/03,1335.12,1316.91
 1998/07/06,1315.28,1301.67
 1998/07/07,1324.4,1293.45
 1998/07/08,1338.98,1307.44
 1998/07/09,1343.23,1294.16
 1998/07/10,1360.61,1271.06
 1998/07/13,1358.81,1234.58
 1998/07/14,1336.55,1207.67
 1998/07/15,1335.46,1190.55
 1998/07/16,1325.63,1204.18
 1998/07/17,1314.71,1168.02
 1998/07/20,1287.07,1070.41
 1998/07/21,1313.01,1071.3
 1998/07/22,1299.14,1126.08
 1998/07/23,1316.27,1149.9
 1998/07/24,1326.82,1177.62
 1998/07/27,1321.89,1178.55
 1998/07/28,1317.94,1179.06
 1998/07/29,1311.94,1160.28
 1998/07/30,1315.3,1145.21
 1998/07/31,1316.91,1129.72
 1998/08/03,1301.67,1150.22
 1998/08/04,1293.45,1143.12
 1998/08/05,1307.44,1136.89
 1998/08/06,1294.16,1147.19
 1998/08/07,1271.06,1163.52
 1998/08/10,1234.58,1178.37
 1998/08/11,1207.67,1167.59
 1998/08/12,1190.55,1190.68
 1998/08/13,1204.18,1213.67
 1998/08/14,1168.02,1218
 1998/08/17,1070.41,1239.6
 1998/08/18,1071.3,1230.12
 1998/08/19,1126.08,1252.13
 1998/08/20,1149.9,1233.7
 1998/08/21,1177.62,1207
 1998/08/24,1178.55,1222.37
 1998/08/25,1179.06,1222.63
 1998/08/26,1160.28,1229.86
 1998/08/27,1145.21,1199.06
 1998/08/28,1129.72,1221.57
 1998/08/31,1150.22,1230.21
 1998/09/01,1143.12,1231.74
 1998/09/02,1136.89,1242.89
 1998/09/03,1147.19,1234.77
 1998/09/04,1163.52,1217.45
 1998/09/07,1178.37,1213.78
 1998/09/08,1167.59,1228.71
 1998/09/09,1190.68,1236.93
 1998/09/10,1213.67,1247.14
 1998/09/11,1218,1244.06
 1998/09/14,1239.6,1240.59
 1998/09/15,1230.12,1254.81
 1998/09/16,1252.13,1251.52
 1998/09/17,1233.7,1246.23
 1998/09/18,1207,1243.64
 1998/09/21,1222.37,1207.82
 1998/09/22,1222.63,1216.09
 1998/09/23,1229.86,1217.42
 1998/09/24,1199.06,1208.26
 1998/09/25,1221.57,1216.78
 1998/09/28,1230.21,1225.92
 1998/09/29,1231.74,1216.76
 1998/09/30,1242.89,1217.31
 1998/10/05,1234.77,1223.47
 1998/10/06,1217.45,1236.87
 1998/10/07,1213.78,1235.8
 1998/10/08,1228.71,1253.27
 1998/10/09,1236.93,1259.76
 1998/10/12,1247.14,1283.12
 1998/10/13,1244.06,1286.55
 1998/10/14,1240.59,1286.19
 1998/10/15,1254.81,1282.98
 1998/10/16,1251.52,1282.5
 1998/10/19,1246.23,1293.74
 1998/10/20,1243.64,1290.59
 1998/10/21,1207.82,1285.5
 1998/10/22,1216.09,1275.6
 1998/10/23,1217.42,1275.37
 1998/10/26,1208.26,1273.78
 1998/10/27,1216.78,1278.91
 1998/10/28,1225.92,1263.85
 1998/10/29,1216.76,1252.81
 1998/10/30,1217.31,1245.08
 1998/11/02,1223.47,1247.41
 1998/11/03,1236.87,1234.35
 1998/11/04,1235.8,1236.96
 1998/11/05,1253.27,1232.5
 1998/11/06,1259.76,1219.19
 1998/11/09,1283.12,1209.54
 1998/11/10,1286.55,1223.25
 1998/11/11,1286.19,1224.08
 1998/11/12,1282.98,1204.63
 1998/11/13,1282.5,1214.21
 1998/11/16,1293.74,1196.29
 1998/11/17,1290.59,1194.84
 1998/11/18,1285.5,1183.06
 1998/11/19,1275.6,1160.09
 1998/11/20,1275.37,1155.92
 1998/11/23,1273.78,1154.42
 1998/11/24,1278.91,1185.96
 1998/11/25,1263.85,1172.51
 1998/11/26,1252.81,1168.98
 1998/11/27,1245.08,1173.91
 1998/11/30,1247.41,1159.93
 1998/12/01,1234.35,1142.72
 1998/12/02,1236.96,1148.26
 1998/12/03,1232.5,1146.7
 1998/12/04,1219.19,1125.81
 1998/12/07,1209.54,1119.96
 1998/12/08,1223.25,1132.59
 1998/12/09,1224.08,1137.72
 1998/12/10,1204.63,1168.81
 1998/12/11,1214.21,1172.81
 1998/12/14,1196.29,1158.86
 1998/12/15,1194.84,1148.15
 1998/12/16,1183.06,1148.65
 1998/12/17,1160.09,1137.3
 1998/12/18,1155.92,1153.11
 1998/12/21,1154.42,1158.55
 1998/12/22,1185.96,1151.37
 1998/12/23,1172.51,1158.49
 1998/12/24,1168.98,1162.35
 1998/12/25,1173.91,1148.12
 1998/12/28,1159.93,1138.21
 1998/12/29,1142.72,1146.49
 1998/12/30,1148.26,1140.97
 1998/12/31,1146.7,1134.67
 1999/01/04,1125.81,1120.53
 1999/01/05,1119.96,1126.4
 1999/01/06,1132.59,1116.86
 1999/01/07,1137.72,1103.49
 1999/01/08,1168.81,1081.44
 1999/01/11,1172.81,1065.81
 1999/01/12,1158.86,1090.08
 1999/01/13,1148.15,1097.97
 1999/01/14,1148.65,1100.91
 1999/01/15,1137.3,1128.73
 1999/01/18,1153.11,1128.95
 1999/01/19,1158.55,1132.35
 1999/01/20,1151.37,1142.1
 1999/01/21,1158.49,1136.94
 1999/01/22,1162.35,1132.73
 1999/01/25,1148.12,1149.92
 1999/01/26,1138.21,1158.7
 1999/01/27,1146.49,1164.63
 1999/01/28,1140.97,1166.93
 1999/01/29,1134.67,1159.09
 1999/02/01,1120.53,1151.99
 1999/02/02,1126.4,1172.93
 1999/02/03,1116.86,1172.74
 1999/02/04,1103.49,1170.94
 1999/02/05,1081.44,1169.03
 1999/02/08,1065.81,1156.85
 1999/02/09,1090.08,1161.12
 1999/03/01,1097.97,1169.48
 1999/03/02,1100.91,1157.5
 1999/03/03,1128.73,1158.05
 1999/03/04,1128.95,1168.5
 1999/03/05,1132.35,1184.4
 1999/03/08,1142.1,1194.46
 1999/03/09,1136.94,1199.6
 1999/03/10,1132.73,1201.63
 1999/03/11,1149.92,1202.46
 1999/03/12,1158.7,1205.13
 1999/03/15,1164.63,1195.33
 1999/03/16,1166.93,1178.19
 1999/03/17,1159.09,1181.51
 1999/03/18,1151.99,1170.61
 1999/03/19,1172.93,1166.23
 1999/03/22,1172.74,1159.47
 1999/03/23,1170.94,1171.6
 1999/03/24,1169.03,1144.06
 1999/03/25,1156.85,1137.16
 1999/03/26,1161.12,1139.99
 1999/03/29,1169.48,1112.79
 1999/03/30,1157.5,1091.69
 1999/03/31,1158.05,1091.08
 1999/04/01,1168.5,1116.4
 1999/04/02,1184.4,1120.92
 1999/04/05,1194.46,1111.75
 1999/04/06,1199.6,1116.93
 1999/04/07,1201.63,1128.22
 1999/04/08,1202.46,1120.73
 1999/04/09,1205.13,1071.92
 1999/04/12,1195.33,1095.4
 1999/04/13,1178.19,1099.99
 1999/04/14,1181.51,1088.86
 1999/04/15,1170.61,1063.27
 1999/04/16,1166.23,1065.55
 1999/04/19,1159.47,1059.87
 1999/04/20,1171.6,1109.08
 1999/04/21,1144.06,1147.7
 1999/04/22,1137.16,1168.72
 1999/04/23,1139.99,1213.65
 1999/04/26,1112.79,1202.88
 1999/04/27,1091.69,1236.04
 1999/04/28,1091.08,1283.02
 1999/04/29,1116.4,1277.15
 1999/04/30,1120.92,1279.32
 1999/05/04,1111.75,1311.59
 1999/05/05,1116.93,1287.93
 1999/05/06,1128.22,1268.32
 1999/05/07,1120.73,1285.57
 1999/05/10,1071.92,1326.51
 1999/05/11,1095.4,1333.64
 1999/05/12,1099.99,1348.6
 1999/05/13,1088.86,1364.34
 1999/05/14,1063.27,1370.39
 1999/05/17,1065.55,1427.7
 1999/05/18,1059.87,1387.59
 1999/05/19,1109.08,1460.16
 1999/05/20,1147.7,1501
 1999/05/21,1168.72,1498.91
 1999/05/24,1213.65,1546.4
 1999/05/25,1202.88,1564.44
 1999/05/26,1236.04,1606.5
 1999/05/27,1283.02,1654.11
 1999/05/28,1277.15,1593.85
 1999/05/31,1279.32,1693.16
 1999/06/01,1311.59,1739.2
 1999/06/02,1287.93,1689.42
 1999/06/03,1268.32,1560.78
 1999/06/04,1285.57,1613.53
 1999/06/07,1326.51,1581.81
 1999/06/08,1333.64,1517.25
 1999/06/09,1348.6,1568.65
 1999/06/10,1364.34,1577.98
 1999/06/11,1370.39,1584.75
 1999/06/14,1427.7,1559.73
 1999/06/15,1387.59,1524.82
 1999/06/16,1460.16,1559.52
 1999/06/17,1501,1549.33
 1999/06/18,1498.91,1519.74
 1999/06/21,1546.4,1479.07
 1999/06/22,1564.44,1574.6
 1999/06/23,1606.5,1609.81
 1999/06/24,1654.11,1550.73
 1999/06/25,1593.85,1585.98
 1999/06/28,1693.16,1602.03
 1999/06/29,1739.2,1590.71
 1999/06/30,1689.42,1597.19
 1999/07/01,1560.78,1595.86
 1999/07/02,1613.53,1601.45
 1999/07/05,1581.81,1616.27
 1999/07/06,1517.25,1626.84
 1999/07/07,1568.65,1649.12
 1999/07/08,1577.98,1653.53
 1999/07/09,1584.75,1646.59
 1999/07/12,1559.73,1628.83
 1999/07/13,1524.82,1602.14
